sample,AK5,C12orf75,CAMKK1,CD1C,CD38,CHSY1,CLEC10A,CYB561,DDIT4,DHRS13,DTYMK,EPHX2,FKBP4,GHRL,GNG2,GPCPD1,GZMB,ID3,IL13RA1,IL1B,LLGL2,MEGF6,MS4A3,MUM1,NPEPL1,NR1D1,NR1D2,NSUN3,PARP2,PDK1,PER1,PGPEP1,POLH,REM2,SH2D1B,SLPI,STIP1,SYT11,TCN1,TIAM2,ZNF438,target
GSM1371589,8.38464,7.872163,5.857764,9.586307,7.446175,10.72907,7.576136,9.572642,7.660442,10.084375,8.576349,9.250246,10.261359,8.856169,10.988969,3.720108,12.242402,8.612104,10.53728,10.62675,8.245389,7.438222,9.51215,5.855202,8.964222,6.838115,6.22213,8.812789,7.60043,10.528793,6.809947,9.062266,7.3549,10.260636,7.230665,11.555476,8.424087,9.027416,8.473516,6.028117,8.692379,12
GSM1371589_1,8.39464,7.882163,5.867764,9.596307,7.456175,10.73907,7.586136,9.582642,7.670442,10.094375,8.586349,9.260246,10.271359,8.866169,10.998969,3.730108,12.252402,8.622104,10.54728,10.63675,8.255389,7.448222,9.52215,5.865202,8.974222,6.848115,6.23213,8.822789,7.61043,10.538793,6.819947,9.072266,7.3649,10.270636,7.240665,11.565476,8.434087,9.037416,8.483516,6.038117,8.702379,12.01
GSM1371589_2,8.40464,7.892163,5.877764,9.606307,7.466175,10.74907,7.596136,9.592642,7.680442,10.104375,8.596349,9.270246,10.281359,8.876169,11.008969,3.740108,12.262402,8.632104,10.55728,10.64675,8.265389,7.458222,9.53215,5.875202,8.984222,6.858115,6.24213,8.832789,7.62043,10.548793,6.829947,9.082266,7.3749,10.280636,7.250665,11.575476,8.444087,9.047416,8.493516,6.048117,8.712379,12.02
GSM1371589_3,8.41464,7.902163,5.887764,9.616307,7.476175,10.75907,7.606136,9.602642,7.690442,10.114375,8.606349,9.280246,10.291359,8.886169,11.018969,3.750108,12.272402,8.642104,10.56728,10.65675,8.275389,7.468222,9.54215,5.885202,8.994222,6.868115,6.25213,8.842789,7.63043,10.558793,6.839947,9.092266,7.3849,10.290636,7.260665,11.585476,8.454087,9.057416,8.503516,6.058117,8.722379,12.03
GSM1371589_4,8.42464,7.912163,5.897764,9.626307,7.486175,10.76907,7.616136,9.612642,7.700442,10.124375,8.616349,9.290246,10.301359,8.896169,11.028969,3.760108,12.282402,8.652104,10.57728,10.66675,8.285389,7.478222,9.55215,5.895202,9.004222,6.878115,6.26213,8.852789,7.64043,10.568793,6.849947,9.102266,7.3949,10.300636,7.270665,11.595476,8.464087,9.067416,8.513516,6.068117,8.732379,12.04
GSM1371590,9.344368,8.280246,5.396662,9.707577,7.348726,10.589936,8.085669,9.36924,7.160322,9.776146,8.728583,10.188282,10.737171,7.571136,10.375752,3.470572,11.964744,9.480785,10.128747,10.394305,8.068136,6.883978,9.660278,5.634209,8.012329,7.111224,7.103442,8.902277,7.671234,10.627916,7.099046,9.018883,7.91729,9.890537,8.07719,10.314348,8.807082,9.534935,9.476015,7.133213,7.770665,20
GSM1371590_1,9.354368,8.290246,5.406662,9.717577,7.358726,10.599936,8.095669,9.37924,7.170322,9.786146,8.738583,10.198282,10.747171,7.581136,10.385752,3.480572,11.974744,9.490785,10.138747,10.404305,8.078136,6.893978,9.670278,5.644209,8.022329,7.121224,7.113442,8.912277,7.681234,10.637916,7.109046,9.028883,7.92729,9.900537,8.08719,10.324348,8.817082,9.544935,9.486015,7.143213,7.780665,20.01
GSM1371590_2,9.364368,8.300246,5.416662,9.727577,7.368726,10.609936,8.105669,9.38924,7.180322,9.796146,8.748583,10.208282,10.757171,7.591136,10.395752,3.490572,11.984744,9.500785,10.148747,10.414305,8.088136,6.903978,9.680278,5.654209,8.032329,7.131224,7.123442,8.922277,7.691234,10.647916,7.119046,9.038883,7.93729,9.910537,8.09719,10.334348,8.827082,9.554935,9.496015,7.153213,7.790665,20.02
GSM1371590_3,9.374368,8.310246,5.426662,9.737577,7.378726,10.619936,8.115669,9.39924,7.190322,9.806146,8.758583,10.218282,10.767171,7.601136,10.405752,3.500572,11.994744,9.510785,10.158747,10.424305,8.098136,6.913978,9.690278,5.664209,8.042329,7.141224,7.133442,8.932277,7.701234,10.657916,7.129046,9.048883,7.94729,9.920537,8.10719,10.344348,8.837082,9.564935,9.506015,7.163213,7.800665,20.03
GSM1371590_4,9.384368,8.320246,5.436662,9.747577,7.388726,10.629936,8.125669,9.40924,7.200322,9.816146,8.768583,10.228282,10.777171,7.611136,10.415752,3.510572,12.004744,9.520785,10.168747,10.434305,8.108136,6.923978,9.700278,5.674209,8.052329,7.151224,7.143442,8.942277,7.711234,10.667916,7.139046,9.058883,7.95729,9.930537,8.11719,10.354348,8.847082,9.574935,9.516015,7.173213,7.810665,20.04
GSM1371591,9.084252,8.559915,5.523872,9.673627,7.706493,10.70873,8.182157,9.400204,7.335708,9.818198,8.787225,9.926156,10.548947,8.019894,10.945314,3.593867,12.399288,9.199199,10.40195,10.588766,8.237746,6.754648,9.488355,5.624174,8.215187,7.072982,6.665678,8.978039,7.822429,10.434912,7.146741,9.059117,7.654027,10.027792,8.738866,10.20071,8.741994,9.662462,9.506641,7.229652,7.83896,16
GSM1371591_1,9.094252,8.569915,5.533872,9.683627,7.716493,10.71873,8.192157,9.410204,7.345708,9.828198,8.797225,9.936156,10.558947,8.029894,10.955314,3.603867,12.409288,9.209199,10.41195,10.598766,8.247746,6.764648,9.498355,5.634174,8.225187,7.082982,6.675678,8.988039,7.832429,10.444912,7.156741,9.069117,7.664027,10.037792,8.748866,10.21071,8.751994,9.672462,9.516641,7.239652,7.84896,16.01
GSM1371591_2,9.104252,8.579915,5.543872,9.693627,7.726493,10.72873,8.202157,9.420204,7.355708,9.838198,8.807225,9.946156,10.568947,8.039894,10.965314,3.613867,12.419288,9.219199,10.42195,10.608766,8.257746,6.774648,9.508355,5.644174,8.235187,7.092982,6.685678,8.998039,7.842429,10.454912,7.166741,9.079117,7.674027,10.047792,8.758866,10.22071,8.761994,9.682462,9.526641,7.249652,7.85896,16.02
GSM1371591_3,9.114252,8.589915,5.553872,9.703627,7.736493,10.73873,8.212157,9.430204,7.365708,9.848198,8.817225,9.956156,10.578947,8.049894,10.975314,3.623867,12.429288,9.229199,10.43195,10.618766,8.267746,6.784648,9.518355,5.654174,8.245187,7.102982,6.695678,9.008039,7.852429,10.464912,7.176741,9.089117,7.684027,10.057792,8.768866,10.23071,8.771994,9.692462,9.536641,7.259652,7.86896,16.03
GSM1371591_4,9.124252,8.599915,5.563872,9.713627,7.746493,10.74873,8.222157,9.440204,7.375708,9.858198,8.827225,9.966156,10.588947,8.059894,10.985314,3.633867,12.439288,9.239199,10.44195,10.628766,8.277746,6.794648,9.528355,5.664174,8.255187,7.112982,6.705678,9.018039,7.862429,10.474912,7.186741,9.099117,7.694027,10.067792,8.778866,10.24071,8.781994,9.702462,9.546641,7.269652,7.87896,16.04
GSM1371592,8.968029,7.782344,5.947725,9.788369,7.24871,10.544163,7.92298,9.886464,7.427578,10.312948,8.871328,9.782948,10.567489,8.589394,10.700177,3.239474,12.048201,8.998204,10.424384,10.449088,8.418794,7.207213,8.66994,5.739816,8.811884,7.166254,6.145433,8.371843,7.775587,10.212658,7.388397,9.386129,7.819969,9.770437,7.476853,11.429068,8.899346,9.083092,7.894236,5.267563,8.578411,0
GSM1371592_1,8.978029,7.792344,5.957725,9.798369,7.25871,10.554163,7.93298,9.896464,7.437578,10.322948,8.881328,9.792948,10.577489,8.599394,10.710177,3.249474,12.058201,9.008204,10.434384,10.459088,8.428794,7.217213,8.67994,5.749816,8.821884,7.176254,6.155433,8.381843,7.785587,10.222658,7.398397,9.396129,7.829969,9.780437,7.486853,11.439068,8.909346,9.093092,7.904236,5.277563,8.588411,0.01
GSM1371592_2,8.988029,7.802344,5.967725,9.808369,7.26871,10.564163,7.94298,9.906464,7.447578,10.332948,8.891328,9.802948,10.587489,8.609394,10.720177,3.259474,12.068201,9.018204,10.444384,10.469088,8.438794,7.227213,8.68994,5.759816,8.831884,7.186254,6.165433,8.391843,7.795587,10.232658,7.408397,9.406129,7.839969,9.790437,7.496853,11.449068,8.919346,9.103092,7.914236,5.287563,8.598411,0.02
GSM1371592_3,8.998029,7.812344,5.977725,9.818369,7.27871,10.574163,7.95298,9.916464,7.457578,10.342948,8.901328,9.812948,10.597489,8.619394,10.730177,3.269474,12.078201,9.028204,10.454384,10.479088,8.448794,7.237213,8.69994,5.769816,8.841884,7.196254,6.175433,8.401843,7.805587,10.242658,7.418397,9.416129,7.849969,9.800437,7.506853,11.459068,8.929346,9.113092,7.924236,5.297563,8.608411,0.03
GSM1371592_4,9.008029,7.822344,5.987725,9.828369,7.28871,10.584163,7.96298,9.926464,7.467578,10.352948,8.911328,9.822948,10.607489,8.629394,10.740177,3.279474,12.088201,9.038204,10.464384,10.489088,8.458794,7.247213,8.70994,5.779816,8.851884,7.206254,6.185433,8.411843,7.815587,10.252658,7.428397,9.426129,7.859969,9.810437,7.516853,11.469068,8.939346,9.123092,7.934236,5.307563,8.618411,0.04
GSM1371593,9.157284,8.000234,5.412276,9.63787,7.225566,10.745654,7.974412,9.643368,7.310926,9.604049,8.73741,10.157132,10.381967,7.511763,10.38935,3.587493,11.634125,9.243381,10.078205,9.906957,7.927727,7.065473,9.667662,5.753278,7.952781,7.134597,7.476926,8.561254,8.029062,10.815334,7.273012,9.203008,7.663967,10.079359,8.034755,10.024838,8.604918,9.555327,9.038404,7.015586,7.62624,0
GSM1371593_1,9.167284,8.010234,5.422276,9.64787,7.235566,10.755654,7.984412,9.653368,7.320926,9.614049,8.74741,10.167132,10.391967,7.521763,10.39935,3.597493,11.644125,9.253381,10.088205,9.916957,7.937727,7.075473,9.677662,5.763278,7.962781,7.144597,7.486926,8.571254,8.039062,10.825334,7.283012,9.213008,7.673967,10.089359,8.044755,10.034838,8.614918,9.565327,9.048404,7.025586,7.63624,0.01
GSM1371593_2,9.177284,8.020234,5.432276,9.65787,7.245566,10.765654,7.994412,9.663368,7.330926,9.624049,8.75741,10.177132,10.401967,7.531763,10.40935,3.607493,11.654125,9.263381,10.098205,9.926957,7.947727,7.085473,9.687662,5.773278,7.972781,7.154597,7.496926,8.581254,8.049062,10.835334,7.293012,9.223008,7.683967,10.099359,8.054755,10.044838,8.624918,9.575327,9.058404,7.035586,7.64624,0.02
GSM1371593_3,9.187284,8.030234,5.442276,9.66787,7.255566,10.775654,8.004412,9.673368,7.340926,9.634049,8.76741,10.187132,10.411967,7.541763,10.41935,3.617493,11.664125,9.273381,10.108205,9.936957,7.957727,7.095473,9.697662,5.783278,7.982781,7.164597,7.506926,8.591254,8.059062,10.845334,7.303012,9.233008,7.693967,10.109359,8.064755,10.054838,8.634918,9.585327,9.068404,7.045586,7.65624,0.03
GSM1371593_4,9.197284,8.040234,5.452276,9.67787,7.265566,10.785654,8.014412,9.683368,7.350926,9.644049,8.77741,10.197132,10.421967,7.551763,10.42935,3.627493,11.674125,9.283381,10.118205,9.946957,7.967727,7.105473,9.707662,5.793278,7.992781,7.174597,7.516926,8.601254,8.069062,10.855334,7.313012,9.243008,7.703967,10.119359,8.074755,10.064838,8.644918,9.595327,9.078404,7.055586,7.66624,0.04
GSM1371594,8.992862,8.408985,5.366455,9.444282,7.318721,10.665333,7.756818,9.571023,8.580851,9.598216,8.694071,9.765508,10.481803,7.939693,10.48136,3.429386,12.331722,8.855102,10.819319,10.282185,8.011576,7.241625,9.784069,5.598427,8.101649,7.150798,7.270523,8.702635,7.609552,10.614883,7.723469,9.026791,7.371275,10.078845,8.743284,10.412378,8.821934,9.48317,9.245793,7.732936,7.743875,8
GSM1371594_1,9.002862,8.418985,5.376455,9.454282,7.328721,10.675333,7.766818,9.581023,8.590851,9.608216,8.704071,9.775508,10.491803,7.949693,10.49136,3.439386,12.341722,8.865102,10.829319,10.292185,8.021576,7.251625,9.794069,5.608427,8.111649,7.160798,7.280523,8.712635,7.619552,10.624883,7.733469,9.036791,7.381275,10.088845,8.753284,10.422378,8.831934,9.49317,9.255793,7.742936,7.753875,8.01
GSM1371594_2,9.012862,8.428985,5.386455,9.464282,7.338721,10.685333,7.776818,9.591023,8.600851,9.618216,8.714071,9.785508,10.501803,7.959693,10.50136,3.449386,12.351722,8.875102,10.839319,10.302185,8.031576,7.261625,9.804069,5.618427,8.121649,7.170798,7.290523,8.722635,7.629552,10.634883,7.743469,9.046791,7.391275,10.098845,8.763284,10.432378,8.841934,9.50317,9.265793,7.752936,7.763875,8.02
GSM1371594_3,9.022862,8.438985,5.396455,9.474282,7.348721,10.695333,7.786818,9.601023,8.610851,9.628216,8.724071,9.795508,10.511803,7.969693,10.51136,3.459386,12.361722,8.885102,10.849319,10.312185,8.041576,7.271625,9.814069,5.628427,8.131649,7.180798,7.300523,8.732635,7.639552,10.644883,7.753469,9.056791,7.401275,10.108845,8.773284,10.442378,8.851934,9.51317,9.275793,7.762936,7.773875,8.03
GSM1371594_4,9.032862,8.448985,5.406455,9.484282,7.358721,10.705333,7.796818,9.611023,8.620851,9.638216,8.734071,9.805508,10.521803,7.979693,10.52136,3.469386,12.371722,8.895102,10.859319,10.322185,8.051576,7.281625,9.824069,5.638427,8.141649,7.190798,7.310523,8.742635,7.649552,10.654883,7.763469,9.066791,7.411275,10.118845,8.783284,10.452378,8.861934,9.52317,9.285793,7.772936,7.783875,8.04
GSM1371595,8.997038,8.233777,6.081314,9.579455,7.498819,10.70955,8.165334,9.33755,7.839825,9.763973,8.314582,10.004793,10.29077,8.160016,10.667381,3.477283,12.432377,8.973828,10.741198,10.562348,8.180468,7.227512,9.221328,5.95502,8.27906,7.198596,6.536952,8.694799,7.416033,10.540796,7.286146,9.279087,7.755739,9.888058,8.348108,10.211806,8.616172,9.58465,9.431825,7.17657,8.002221,8
GSM1371595_1,9.007038,8.243777,6.091314,9.589455,7.508819,10.71955,8.175334,9.34755,7.849825,9.773973,8.324582,10.014793,10.30077,8.170016,10.677381,3.487283,12.442377,8.983828,10.751198,10.572348,8.190468,7.237512,9.231328,5.96502,8.28906,7.208596,6.546952,8.704799,7.426033,10.550796,7.296146,9.289087,7.765739,9.898058,8.358108,10.221806,8.626172,9.59465,9.441825,7.18657,8.012221,8.01
GSM1371595_2,9.017038,8.253777,6.101314,9.599455,7.518819,10.72955,8.185334,9.35755,7.859825,9.783973,8.334582,10.024793,10.31077,8.180016,10.687381,3.497283,12.452377,8.993828,10.761198,10.582348,8.200468,7.247512,9.241328,5.97502,8.29906,7.218596,6.556952,8.714799,7.436033,10.560796,7.306146,9.299087,7.775739,9.908058,8.368108,10.231806,8.636172,9.60465,9.451825,7.19657,8.022221,8.02
GSM1371595_3,9.027038,8.263777,6.111314,9.609455,7.528819,10.73955,8.195334,9.36755,7.869825,9.793973,8.344582,10.034793,10.32077,8.190016,10.697381,3.507283,12.462377,9.003828,10.771198,10.592348,8.210468,7.257512,9.251328,5.98502,8.30906,7.228596,6.566952,8.724799,7.446033,10.570796,7.316146,9.309087,7.785739,9.918058,8.378108,10.241806,8.646172,9.61465,9.461825,7.20657,8.032221,8.03
GSM1371595_4,9.037038,8.273777,6.121314,9.619455,7.538819,10.74955,8.205334,9.37755,7.879825,9.803973,8.354582,10.044793,10.33077,8.200016,10.707381,3.517283,12.472377,9.013828,10.781198,10.602348,8.220468,7.267512,9.261328,5.99502,8.31906,7.238596,6.576952,8.734799,7.456033,10.580796,7.326146,9.319087,7.795739,9.928058,8.388108,10.251806,8.656172,9.62465,9.471825,7.21657,8.042221,8.04
GSM1371596,9.475019,8.056265,5.48714,9.65363,7.041154,9.862223,7.742099,9.636332,6.690211,9.979334,8.660702,10.395342,10.068818,7.902474,9.896709,3.589602,11.667034,9.440576,9.321901,9.750312,8.394707,7.663846,9.640806,5.572622,8.867783,7.319424,6.650435,8.877268,8.1826,10.996925,7.341615,9.36607,8.082448,9.371399,7.12941,10.084482,8.404761,9.688352,9.107697,7.226183,7.707362,0
GSM1371596_1,9.485019,8.066265,5.49714,9.66363,7.051154,9.872223,7.752099,9.646332,6.700211,9.989334,8.670702,10.405342,10.078818,7.912474,9.906709,3.599602,11.677034,9.450576,9.331901,9.760312,8.404707,7.673846,9.650806,5.582622,8.877783,7.329424,6.660435,8.887268,8.1926,11.006925,7.351615,9.37607,8.092448,9.381399,7.13941,10.094482,8.414761,9.698352,9.117697,7.236183,7.717362,0.01
GSM1371596_2,9.495019,8.076265,5.50714,9.67363,7.061154,9.882223,7.762099,9.656332,6.710211,9.999334,8.680702,10.415342,10.088818,7.922474,9.916709,3.609602,11.687034,9.460576,9.341901,9.770312,8.414707,7.683846,9.660806,5.592622,8.887783,7.339424,6.670435,8.897268,8.2026,11.016925,7.361615,9.38607,8.102448,9.391399,7.14941,10.104482,8.424761,9.708352,9.127697,7.246183,7.727362,0.02
GSM1371596_3,9.505019,8.086265,5.51714,9.68363,7.071154,9.892223,7.772099,9.666332,6.720211,10.009334,8.690702,10.425342,10.098818,7.932474,9.926709,3.619602,11.697034,9.470576,9.351901,9.780312,8.424707,7.693846,9.670806,5.602622,8.897783,7.349424,6.680435,8.907268,8.2126,11.026925,7.371615,9.39607,8.112448,9.401399,7.15941,10.114482,8.434761,9.718352,9.137697,7.256183,7.737362,0.03
GSM1371596_4,9.515019,8.096265,5.52714,9.69363,7.081154,9.902223,7.782099,9.676332,6.730211,10.019334,8.700702,10.435342,10.108818,7.942474,9.936709,3.629602,11.707034,9.480576,9.361901,9.790312,8.434707,7.703846,9.680806,5.612622,8.907783,7.359424,6.690435,8.917268,8.2226,11.036925,7.381615,9.40607,8.122448,9.411399,7.16941,10.124482,8.444761,9.728352,9.147697,7.266183,7.747362,0.04
GSM1371597,9.027571,8.15985,6.246704,9.403649,7.463278,11.002046,8.143121,9.376791,7.219138,10.097896,8.578963,10.061622,10.563959,8.02775,10.205591,3.77319,12.101449,9.386406,10.338254,10.988276,8.02021,7.463466,9.067266,6.138636,8.306916,6.970899,6.836053,8.440127,7.364659,10.469825,7.155788,9.15903,7.842945,9.86742,8.191596,10.021195,8.691853,9.515944,9.360102,6.632911,7.951616,20
GSM1371597_1,9.037571,8.16985,6.256704,9.413649,7.473278,11.012046,8.153121,9.386791,7.229138,10.107896,8.588963,10.071622,10.573959,8.03775,10.215591,3.78319,12.111449,9.396406,10.348254,10.998276,8.03021,7.473466,9.077266,6.148636,8.316916,6.980899,6.846053,8.450127,7.374659,10.479825,7.165788,9.16903,7.852945,9.87742,8.201596,10.031195,8.701853,9.525944,9.370102,6.642911,7.961616,20.01
GSM1371597_2,9.047571,8.17985,6.266704,9.423649,7.483278,11.022046,8.163121,9.396791,7.239138,10.117896,8.598963,10.081622,10.583959,8.04775,10.225591,3.79319,12.121449,9.406406,10.358254,11.008276,8.04021,7.483466,9.087266,6.158636,8.326916,6.990899,6.856053,8.460127,7.384659,10.489825,7.175788,9.17903,7.862945,9.88742,8.211596,10.041195,8.711853,9.535944,9.380102,6.652911,7.971616,20.02
GSM1371597_3,9.057571,8.18985,6.276704,9.433649,7.493278,11.032046,8.173121,9.406791,7.249138,10.127896,8.608963,10.091622,10.593959,8.05775,10.235591,3.80319,12.131449,9.416406,10.368254,11.018276,8.05021,7.493466,9.097266,6.168636,8.336916,7.000899,6.866053,8.470127,7.394659,10.499825,7.185788,9.18903,7.872945,9.89742,8.221596,10.051195,8.721853,9.545944,9.390102,6.662911,7.981616,20.03
GSM1371597_4,9.067571,8.19985,6.286704,9.443649,7.503278,11.042046,8.183121,9.416791,7.259138,10.137896,8.618963,10.101622,10.603959,8.06775,10.245591,3.81319,12.141449,9.426406,10.378254,11.028276,8.06021,7.503466,9.107266,6.178636,8.346916,7.010899,6.876053,8.480127,7.404659,10.509825,7.195788,9.19903,7.882945,9.90742,8.231596,10.061195,8.731853,9.555944,9.400102,6.672911,7.991616,20.04
GSM1371598,8.814082,8.170856,5.479556,9.485388,7.307038,10.671304,7.79702,9.384801,8.312489,9.797748,8.740742,9.924311,10.545724,7.716872,10.696502,4.050825,12.505895,9.031874,10.625937,10.47371,8.209959,7.245644,9.822422,5.711142,8.084442,7.122086,7.084897,8.817486,7.531106,10.630482,7.431621,9.169035,7.544738,9.866378,8.859964,10.134735,8.647378,9.461636,9.416974,7.434546,8.048092,8
GSM1371598_1,8.824082,8.180856,5.489556,9.495388,7.317038,10.681304,7.80702,9.394801,8.322489,9.807748,8.750742,9.934311,10.555724,7.726872,10.706502,4.060825,12.515895,9.041874,10.635937,10.48371,8.219959,7.255644,9.832422,5.721142,8.094442,7.132086,7.094897,8.827486,7.541106,10.640482,7.441621,9.179035,7.554738,9.876378,8.869964,10.144735,8.657378,9.471636,9.426974,7.444546,8.058092,8.01
GSM1371598_2,8.834082,8.190856,5.499556,9.505388,7.327038,10.691304,7.81702,9.404801,8.332489,9.817748,8.760742,9.944311,10.565724,7.736872,10.716502,4.070825,12.525895,9.051874,10.645937,10.49371,8.229959,7.265644,9.842422,5.731142,8.104442,7.142086,7.104897,8.837486,7.551106,10.650482,7.451621,9.189035,7.564738,9.886378,8.879964,10.154735,8.667378,9.481636,9.436974,7.454546,8.068092,8.02
GSM1371598_3,8.844082,8.200856,5.509556,9.515388,7.337038,10.701304,7.82702,9.414801,8.342489,9.827748,8.770742,9.954311,10.575724,7.746872,10.726502,4.080825,12.535895,9.061874,10.655937,10.50371,8.239959,7.275644,9.852422,5.741142,8.114442,7.152086,7.114897,8.847486,7.561106,10.660482,7.461621,9.199035,7.574738,9.896378,8.889964,10.164735,8.677378,9.491636,9.446974,7.464546,8.078092,8.03
GSM1371598_4,8.854082,8.210856,5.519556,9.525388,7.347038,10.711304,7.83702,9.424801,8.352489,9.837748,8.780742,9.964311,10.585724,7.756872,10.736502,4.090825,12.545895,9.071874,10.665937,10.51371,8.249959,7.285644,9.862422,5.751142,8.124442,7.162086,7.124897,8.857486,7.571106,10.670482,7.471621,9.209035,7.584738,9.906378,8.899964,10.174735,8.687378,9.501636,9.456974,7.474546,8.088092,8.04
GSM1371599,8.446198,7.263833,5.610035,9.257167,7.005292,11.112823,7.44953,9.577233,7.705807,10.369459,8.349406,9.399922,10.193252,8.667757,10.845644,4.216147,11.396376,8.650246,10.647605,10.516277,8.176372,7.554465,8.727565,5.906605,8.970625,6.953921,6.350581,8.397353,7.339729,10.421525,7.38355,9.360465,7.406511,9.924076,7.591864,10.572896,8.653301,8.849326,8.379579,5.64598,8.365597,4
GSM1371599_1,8.456198,7.273833,5.620035,9.267167,7.015292,11.122823,7.45953,9.587233,7.715807,10.379459,8.359406,9.409922,10.203252,8.677757,10.855644,4.226147,11.406376,8.660246,10.657605,10.526277,8.186372,7.564465,8.737565,5.916605,8.980625,6.963921,6.360581,8.407353,7.349729,10.431525,7.39355,9.370465,7.416511,9.934076,7.601864,10.582896,8.663301,8.859326,8.389579,5.65598,8.375597,4.01
